address,Latitude,Longitude,type,count,time
대전광역시 대덕구 상서동 418-4,36.4215451599694,127.423832559993,pp마대,8,2024-05-24 00:33:00
대전광역시 대덕구 덕암동 13-7,36.4432732431254,127.427067576862,pp마대,6,2024-01-18 00:33:00
대전광역시 서구 관저동 984,36.3085933652258,127.338841243288,pp마대,3,2024-05-17 00:33:00
대전광역시 서구 도안동 1092,36.3235459172349,127.347483775946,pp마대,10,2024-02-23 00:33:00
대전광역시 서구 관저동 985,36.3092827743861,127.338457858345,대형폐기물,3,2024-06-01 00:33:00
대전광역시 서구 도안동 1982,36.307881407222,127.352867515099,대형폐기물,6,2024-01-17 00:33:00
대전광역시 서구 도안동 1452,36.3134412691012,127.351391891081,pp마대,1,2024-04-09 00:33:00
대전광역시 서구 도안동 906,36.3316999700665,127.341795201489,pp마대,4,2024-07-20 00:33:00
대전광역시 서구 도안동 876,36.3303639270567,127.339439349385,대형폐기물,1,2024-02-18 00:33:00
대전광역시 서구 관저동 984-2,36.3086272511094,127.337343030077,대형폐기물,3,2024-01-04 00:33:00
대전광역시 대덕구 상서동 416-6,36.4220113637724,127.423391635789,대형폐기물,8,2024-09-19 00:33:00
대전광역시 서구 월평동 1513,36.3641063707572,127.368503279087,대형폐기물,10,2024-07-11 00:33:00
대전광역시 대덕구 상서동 804,36.4213188752324,127.42464497941,pp마대,9,2024-04-02 00:33:00
대전광역시 서구 도안동 875,36.3303648122814,127.339127502699,대형폐기물,3,2024-04-06 00:33:00
대전광역시 대덕구 상서동 428-1,36.4209979065325,127.423749972063,대형폐기물,1,2024-04-22 00:33:00
대전광역시 서구 도안동 1427,36.3141108149718,127.350481809299,pp마대,3,2024-06-09 00:33:00
대전광역시 서구 도안동 1663,36.3076778184797,127.351034784906,pp마대,7,2024-06-01 00:33:00
대전광역시 서구 도안동 383-4,36.3272346146414,127.348416400045,대형폐기물,8,2024-10-18 00:33:00
대전광역시 유성구 원신흥동 646,36.3397351344023,127.349588070651,대형폐기물,7,2024-03-17 00:33:00
대전광역시 서구 월평동 188-4,36.3488880978968,127.350824545699,pp마대,6,2024-09-30 00:33:00
